imagedir,image,mos_quality,prompt,prompt2,new_prompt
C:/D/VQA/IC/images/abstract_10027.jpg,abstract_10027.jpg,0.308823526,an image of a black background with yellow numbers 4,a black and yellow spiral that has numbers 4 on the side of it,a black and yellow spiral that has numbers 4 on the side of it
C:/D/VQA/IC/images/abstract_102677.jpg,abstract_102677.jpg,0.352941185,a rainbow sits in the sky behind a monument,a rainbow is in the sky above a sculpture of an arrow,a rainbow is in the sky above a sculpture of an arrow
C:/D/VQA/IC/images/abstract_103108.jpg,abstract_103108.jpg,0.426470578,a close up of a glass dolphin sitting in front of flowers,a glass sculpture of a dolphin with water coming out of its mouth in front of colorful flowers,a glass sculpture of a dolphin with water coming out of its mouth in front of colorful flowers
C:/D/VQA/IC/images/abstract_103678.jpg,abstract_103678.jpg,0.205882356,"a vase with a green, red and white design on it","a close up of a vase with red, white and green paint on it","a close up of a vase with red, white and green paint on it"
C:/D/VQA/IC/images/abstract_103828.jpg,abstract_103828.jpg,0.441176474,a man taking a picture of himself in a mirror,a man taking a picture of himself in a bathroom mirror,a man taking a picture of himself in a bathroom mirror
C:/D/VQA/IC/images/abstract_103985.jpg,abstract_103985.jpg,0.044117648,a red light illuminating the hands of a person,a close up of a person's hand with red lighting on it,a close up of a person's hand with red lighting on it
C:/D/VQA/IC/images/abstract_104253.jpg,abstract_104253.jpg,0.220588237,a red candle with smoke coming out of it,a red candle with smoke coming out of it on a black background,a red candle with smoke coming out of it on a black background
C:/D/VQA/IC/images/abstract_10526.jpg,abstract_10526.jpg,0.5,a close up of some green and red m&m candies,a close up of green and red m&m's candies in glass tubes,a close up of green and red m&m's candies in glass tubes
C:/D/VQA/IC/images/abstract_105796.jpg,abstract_105796.jpg,0.529411793,an image of a fingerprint on a black background,an image of a fingerprint on a black surface with white dots,an image of a fingerprint on a black surface with white dots
C:/D/VQA/IC/images/abstract_10604.jpg,abstract_10604.jpg,0.411764711,a blurry picture of a white dog on a red background,a blurry image of a white dog sitting in front of a colorful backdrop,a blurry image of a white dog sitting in front of a colorful backdrop
C:/D/VQA/IC/images/abstract_106095.jpg,abstract_106095.jpg,0.323529422,a close up shot of water flowing out of a pipe,a close up of water pouring out of a red wooden faucet,a close up of water pouring out of a red wooden faucet
C:/D/VQA/IC/images/abstract_106769.jpg,abstract_106769.jpg,0.117647059,a black and white photo of a hand holding a razor,a black and white photo of a person holding a straight razor in their hand,a black and white photo of a person holding a straight razor in their hand
C:/D/VQA/IC/images/abstract_107382.jpg,abstract_107382.jpg,0.294117659,a black and white photo of a glass flower,a black and white photo of a flower shaped light fixture in a dark room,a black and white photo of a flower shaped light fixture in a dark room
C:/D/VQA/IC/images/abstract_107962.jpg,abstract_107962.jpg,0.14705883,a close up of a bunch of star shaped objects,a bunch of glowing star shaped fruits sitting in the dark,a bunch of glowing star shaped fruits sitting in the dark
C:/D/VQA/IC/images/abstract_108027.jpg,abstract_108027.jpg,0.132352948,a close up of an orange and red flower,a close up of the inside of an orange flower,a close up of the inside of an orange flower
C:/D/VQA/IC/images/abstract_108573.jpg,abstract_108573.jpg,0.54411763,a close up of a bowl of green and white food,a plate of pineapple and marshmallow dessert with whipped cream on top,a plate of pineapple and marshmallow dessert with whipped cream on top
C:/D/VQA/IC/images/abstract_108872.jpg,abstract_108872.jpg,0.14705883,a yellow wall with a blue window and a yellow sun,"A yellow wall with blue shutters and a sun painted on the wall in front of it, next to a white cat sitting on top of the wall looking out","A yellow wall with blue shutters and a sun painted on the wall in front of it, next to a white cat sitting on top of the wall looking out"
C:/D/VQA/IC/images/abstract_108973.jpg,abstract_108973.jpg,0.279411763,a close up of a glass frog on a blue background,a close up of a glass frog figurine on a blue background,a close up of a glass frog figurine on a blue background
C:/D/VQA/IC/images/abstract_109097.jpg,abstract_109097.jpg,0.529411793,a close up of a piece of clothing with a rope,a close up of a piece of clothing with a rope around it's waist,a close up of a piece of clothing with a rope around it's waist
C:/D/VQA/IC/images/abstract_109391.jpg,abstract_109391.jpg,0.161764711,a close up of a pair of glasses on a white background,a close up of a pair of glasses on a white background,a close up of a pair of glasses on a white background
C:/D/VQA/IC/images/abstract_109910.jpg,abstract_109910.jpg,0.367647052,a pencil laying on top of a cd disc,a pencil laying on top of a cd with colorful light shining through it's plastic surface,a pencil laying on top of a cd with colorful light shining through it's plastic surface
C:/D/VQA/IC/images/abstract_110131.jpg,abstract_110131.jpg,0.558823526,a close up of some purple flowers on a window,a close up of some purple flowers on a frosted glass window pane,a close up of some purple flowers on a frosted glass window pane
C:/D/VQA/IC/images/abstract_110241.jpg,abstract_110241.jpg,0.117647059,a close up of a purple and green flower,a close up of a purple flower against a black background,a close up of a purple flower against a black background
C:/D/VQA/IC/images/abstract_110349.jpg,abstract_110349.jpg,0.382352948,a close up of some kitchen appliances on a counter,a bunch of kitchen appliances sitting on top of a counter,a bunch of kitchen appliances sitting on top of a counter
C:/D/VQA/IC/images/abstract_110386.jpg,abstract_110386.jpg,0.220588237,a close up of a device with a face on it,"a close up of a device that has a face on the front of it, with lights shining in its eyes and mouth","a close up of a device that has a face on the front of it, with lights shining in its eyes and mouth"
C:/D/VQA/IC/images/abstract_110439.jpg,abstract_110439.jpg,0.338235289,a close up of a camera lens on a white background,a close up of a camera lens on a white background,a close up of a camera lens on a white background
